0	0	请你扮演一位金融和会计领域专家，你会面临用户提出的一些问题，你要给出解决问题的思考过程和最终答案。你要首先在头脑中思考推理过程，然后向用户提供答案。最后，答案要用 $\boxed{答案}$的形式输出。\n问题：\n甲公司2020年度进行了如下投资：\n（1）甲公司和A公司为同一母公司最终控制下的两家公司。2020年1月1日，甲公司向其母公司支付现金500万元，取得母公司拥有A公司100%的股权，于当日起能够对A公司实施控制。合并日A公司的净资产账面价值450万元，合并后A公司仍维持其独立法人地位继续经营，甲公司、A公司在合并前采用的会计政策相同。\n（2）2月10日，委托证券公司从二级市场购入B公司股票400万股，支付价款1 224万元（含已宣告但尚未发放的现金股利24万元），另支付相关交易费用8万元。甲公司取得B公司股票后，将其作为交易性金融资产核算。2月18日，收到价款中包含的现金股利24万元。\n（3）7月1日，购入C公司股票580万股，支付价款4 600万元，每股价格中包含已宣告但尚未发放的现金股利0.25元。占C公司有表决权股份的25%，对C公司的财务和经营决策具有重大影响，甲公司将其作为长期股权投资核算。\n同日C公司净资产的账面价值（与其公允价值不存在差异）为18 000万元。2020年7月1日至12月31日，C公司实现净利润600万元，宣告分配现金股利400万元。\n（4）12月31日，甲公司将持有的C公司股票出售，取得价款5 000万元。\n要求：根据上述资料，不考虑其他相关因素，分析回答下列小题。（答案中的金额单位用万元表示）\n根据资料（3），针对C公司长期股权投资说法正确的是（　　）。\nA.长期股权投资入账价值为4 500万元\nB.应确认投资收益180万元\nC.应确认其他综合收益100万元\nD.12月31日账面价值4 712万元
1	1	请你扮演一位金融和会计领域专家，你会面临用户提出的一些问题，你要给出解决问题的思考过程和最终答案。你要首先在头脑中思考推理过程，然后向用户提供答案。最后，答案要用 $\boxed{答案}$的形式输出。\n问题：\n甲公司为上市公司，2018年1月1日以非公开发行的方式向100名管理人员每人授予10万股自身股票，授予价格为8元/股。当日，100名管理人员全部认购，认购款项为8 000万元，甲公司履行了相关增资手续。估计该限制性股票股权激励在授予日的公允价值为10元/股。该计划规定，授予对象从2018年1月1日起在本公司连续服务满3年的，则所授予股票将于2021年1月1日全部解锁；期间离职的，甲公司将按照原授予价格8元/股回购。至2021年1月1日，所授予股票不得流通或转让，激励对象取得的现金股利暂由公司管理，作为应付股利在解锁时向激励对象支付；对于未能解锁的限制性股票，甲公司在回购股票时应扣除激励对象已享有的该部分现金股利。2018年度，甲公司有4名管理人员离职，甲公司估计3年中离职的管理人员为10名，当年宣告发放现金股利为每股1元（限制性股票持有人享有同等分配权利）。下列关于2018年甲公司的会计处理中，正确的有（        ）。\nA.2018年1月1日不做任何账务处理\nB.2018年确认管理费用和资本公积——其他资本公积的金额为3 000万元\nC.2018年12月31日预计未来可解锁限制性股票持有者的现金股利为900万元\nD.2018年12月31日预计未来不可解锁限制性股票持有者的现金股利为100万元
2	2	请你扮演一位金融和会计领域专家，你会面临用户提出的一些问题，你要给出解决问题的思考过程和最终答案。你要首先在头脑中思考推理过程，然后向用户提供答案。最后，答案要用 $\boxed{答案}$的形式输出。\n问题：\nGiven the American terms for the Mexican Peso (MXP) and the Peruvian Nuevo Sol (PEN),\ndetermine the MXP/PEN bid-ask spread. (Note: Carry calculations to at least five decimal\nplaces.) Select the closest correct answer.\n$/MXP Bid Ask MXP 0.11001 - 0.00035 / MXP\n$/PEN Bid Ask PEN 0.28818 - 0.00100 / PEN\nA) MXP 2.62890 - 0.01740 PEN.\nB) MXP 0.03042 - 0.00254 PEN.\nC) MXP 2.61227 - 0.01740 PEN.\nD) MXP 0.38300 - 0.00254 PEN.\n
3	3	请你扮演一位金融和会计领域专家，你会面临用户提出的一些问题，你要给出解决问题的思考过程和最终答案。你要首先在头脑中思考推理过程，然后向用户提供答案。最后，答案要用 $\boxed{答案}$的形式输出。\n问题：\n下列各项中，属于纳税调整减少事项的有（ ）。\nA.一般企业以前年度未弥补亏损（前五年内）\nB.国债利息收入\nC.符合条件的居民企业之间的股息收益\nD.税收滞纳金
4	4	请你扮演一位金融和会计领域专家，你会面临用户提出的一些问题，你要给出解决问题的思考过程和最终答案。你要首先在头脑中思考推理过程，然后向用户提供答案。最后，答案要用 $\boxed{答案}$的形式输出。\n问题：\n关于财产清查结果的会计处理，下列说法中错误的是（　　）。\nA.财产清查产生的损溢，企业应于期末前查明原因，并根据企业的管理权限，经股东会或董事会，或经理（厂长）会议或类似机构批准后，在期末结账前处理完毕\nB.财产清查产生的损溢，如果在期末结账前尚未经批准，在对外提供财务报表时，先按相关规定进行处理，并在附注中作出说明，其后批准处理的金额与已处理的金额不一致的，调整财务报表相关项目的当期数\nC.对于财产清查中发现的问题，应核实情况，调查分析产生的原因\nD.根据“清查结果报告表”“盘点报告表”等数据资料，填制记账凭证，记入有关账簿，使账簿记录与实际盘存数相符
5	5	请你扮演一位金融和会计领域专家，你会面临用户提出的一些问题，你要给出解决问题的思考过程和最终答案。你要首先在头脑中思考推理过程，然后向用户提供答案。最后，答案要用 $\boxed{答案}$的形式输出。\n问题：\n甲公司2021年1月1日发行在外普通股股数为5000万股，2021年11月1日，甲公司发布增资配股公告，向截止到2021年11月30日（股权登记日）所有登记在册的老股东配股，配股比例为每10股配1股，配股价格为每股8元，除权交易基准日为2021年12月1日。假设行权前一日的市价为每股13元，本年度归属于普通股股东的净利润为12000万元。不考虑其他因素，甲公司2021年度基本每股收益为（　　）元/股。\nA.2.00\nB.2.10\nC.2.20\nD.2.30
6	6	请你扮演一位金融和会计领域专家，你会面临用户提出的一些问题，你要给出解决问题的思考过程和最终答案。你要首先在头脑中思考推理过程，然后向用户提供答案。最后，答案要用 $\boxed{答案}$的形式输出。\n问题：\n下列各项中，会导致留存收益总额发生增减变动的是（      ）。\nA.资本公积转增资本\nB.盈余公积补亏\nC.盈余公积转增资本\nD.以当年净利润弥补以前年度亏损
7	7	请你扮演一位金融和会计领域专家，你会面临用户提出的一些问题，你要给出解决问题的思考过程和最终答案。你要首先在头脑中思考推理过程，然后向用户提供答案。最后，答案要用 $\boxed{答案}$的形式输出。\n问题：\nWhich of the following statements is FALSE?\nA)\nThe interquartile range contains half the data points in the data set.\nB)\nThe interquartile range is set at half the distance between the largest and smallest number in the data set.\nC)\nIf the median is on the left side of the interquartile range the data is skewed to the left.\nD)\nDownside outliers are those observations below the first quartile less 1.5 times the interquartile range.\n
8	8	请你扮演一位金融和会计领域专家，你会面临用户提出的一些问题，你要给出解决问题的思考过程和最终答案。你要首先在头脑中思考推理过程，然后向用户提供答案。最后，答案要用 $\boxed{答案}$的形式输出。\n问题：\n甲公司属于增值税一般纳税人，销售和购买商品适用的增值税税率是 13％。2021 年 12 月初，甲公司“应付职工薪酬”科目贷方余额为 110 万元，该企业 2021 年 12 月发生职工薪酬业务如下：\n（1）5 日，结算上月应付职工薪酬时，甲公司代扣代缴职工个人所得税 2.5 万元，为职工垫付房租 7 万元。\n（2）25 日，甲公司财务部门发生固定资产日常修理费用 3 万元，全部为修理人员的职工薪酬。\n（3）31 日，分配本月货币性职工薪酬 123 万元。其中，直接生产产品人员工资 80 万元，车间管理人员工资 15 万元，企业行政管理人员工资 5 万元，专设销售机构人员工资20 万元，在建工程人员工资 3 万元。\n（4）31 日，企业以外购的 200 台空调作为本月销售人员的福利补贴并已发放。每台空调价格为 0.3 万元，增值税税额为 0.039 万元，款项以银行存款支付。\n要求：根据上述资料，不考虑其他因素，分析回答下列问题。（答案中的金额单位用万元表示）\n根据资料（4），下列各项中，关于甲公司发放空调的会计处理正确的是（ ）。\nA.借：应付职工薪酬  60\n应交税费——应交增值税（进项税额）  7.8\n贷：银行存款  67.8\nB.借：销售费用  67.8\n贷：银行存款  67.8\nC.借：销售费用  67.8\n贷：应付职工薪酬  67.8\n借：应付职工薪酬  67.8\n贷：库存商品  60\n应交税费——应交增值税（进项税额转出）  7.8\nD.借：销售费用  60\n应交税费——应交增值税（进项税额）  7.8\n贷：银行存款  67.8
9	9	请你扮演一位金融和会计领域专家，你会面临用户提出的一些问题，你要给出解决问题的思考过程和最终答案。你要首先在头脑中思考推理过程，然后向用户提供答案。最后，答案要用 $\boxed{答案}$的形式输出。\n问题：\nWhich one of the following is NOT consistent with AIMR's Performance Presentation Standards?\nA)\nCash and cash equivalents must be included in composite returns.\nB)\nAll actual, fee paying, discretionary portfolios should be included in at least one composite.\nC)\nInvestment performance is the record of the manager not the firm, all changes in personnel should be accounted for by adjusting the composite's performance history.\nD)\nPresentation of performance may be either gross or net of investment management fees, as long as the method and the fee schedule are disclosed.\n
